text,label
If symptomatic patient got the vaccine will he dies,0
"Has anyone died from getting the Pfizer, Moderna or Johnson and Johnson vaccine",0
Why should I trust a pharmaceutical company who can manipulate data?,0
What are antisense RNA's?  Could they or dsRNA be contaminating the COVID mRNA vaccines due to poor quality control?,0
The vaccines aren't FDA approved.,0
Do mRNA vaccines damage reproductive system,0
how many people have several issues after the vaccine,0
How many people got sick because of the vaccination,0
How does the vaccine affect fertility,0
"Since it is a man made product, what are the long term effects to the dna of a person.?",0
i don't want to be chiped,0
Are the vaccines not unsafe?,0
Hi I think the vaccine causes covid.,0
Can vaccin mRNA cause long-term consequences on human?,0
Can I get covid from vaccine,0
How is the vaccine safe if I can't donate blood,0
no go,0
how likely is it to have covid symptom after getting 2nd dose of vaccination?,0
How many adverse reactions have there been?,0
Will the vaccine turn me gay?,0
What are the real effects covid 19 vaccines have,0
What are the long term side effects of pfizer,0
Does the vaccine have a tracker in it?,0
Does J&J vaccine contain  fetal cells,0
Why has there been a spike in blood clot and heart inflammation following vaccinations,0
Do vaccines cause mutations,0
Will I mutate?,0
how do you know the covid 19 vaccine is safe,0
Vaccines are only water,0
What are the long term effects of the vax,0
are there complaints of long term arm soreness after vaccination?,0
Do little kids die from vaccine?,0
what is the delta variant and how dangerous is the vaccine?,0
What are they injecting into our bodies,0
feeling afraid of taking vaccine,0
the vaccine wasn't tested enough,0
Does sinus arrhythmia create risk in getting the vaccine?,0
can the vaccine giv eme covid,0
Was virus created to depopulate humankind?,0
Is it true that these vaccines have killed more people than any other vaccine in history?,0
"If vaccines are not 100% protection against the virus, would you want to have a prophylactic to assist in defeating the virus?",0
do the vaccines have fetus material in them?,0
when it will be proven that vaccines are really efficient?,0
I'm concerned of side effects,0
"I understand that COVID vaccine contains NO aborted fetal cells.  But, were aborted fetal cells used in the vaccine development?",0
How many deaths from vaccine,0
"Yes or no, has anyone died from taking the vaccine?",0
Can covid-19 vaccines cause hearing loss?,0
What are the long term effects of covid and the covid vaccine,0
Why do you call experimental gene therapy a vaccine?,0
Does the vaccine contain nano particles?,0
Had anyone died from the vaccines?,0
why haven't all the vaccines been approved yet?,0
How many people have died from the vacine?,0
what side effects,0
Have people died from the vax?,0
Can the vaccine cause a cytokine storm when exposed to a wild variant of coronavirus,0
Will the vaccine alter my DNA?,0
Is it true that the vaccines are genetically modified?,0
will I die after vaccination,0
The vaxin wasn't approved proparly,0
Will the vaccine make me magnetic,0
Neurological side effects,0
i am concerned about implanted microchips,0
when it will be proven that the vaccines are really effective,0
Does the vaccine use aborted fetus?,0
Is there metal in the vaccine?,0
I heard the vaccine will change my DNA,0
is the vaccine a hoax,0
Will i get myocarditis from teh vaccine,0
I'm nervous about getting serious side effects.,0
Why does the vaccine kill and injure so many people,0
A number of doctors are reporting micro blood clots from the mRNA vaccines.,0
what about fertility issues with pre-pubescent girls,0
Magnets in vaccination,0
PERSON People put poison on the vaccine!,0
are booster shots ethical?,0
"this is a complete lie, they are deleting and covering up data, you are all complicit in crimes against humanity!",0
has the shot caused anyone to die?,0
Does the vaccine change my dna?,0
Are the vaccins to control our minds?,0
What are the side effects in young adults with the Pfizer   vaccine?,0
Why should i get the vaccine if my natural immunity lasts longer?,0
what are the side effect of covid vaccine?,0
what are the long term risks of getting vaccinated?,0
Why are magnets sticking to people after injection?,0
Will the vaccine impact me longterm?,0
"I am black, and I'm worried about the government using the vaccine to hurt my community",0
can covid vaccines hurt fertility,0
is the vaccine part of a depopulation agenda,0
Long term vaccine effects,0
are there fetal cells in the vaccines?,0
Why have therapeutic solutions been suppressed in favor of experimental vaccines?,0
what about vaccine side effects,0
Have long term studies been done on how the vaccine can impact fertility?,0
Does vaccination cause dizziness?,0
How many vaccinated people have died due to covid,0
what about side effects,0
Why is the 2nd shot worse?,0
Have you read the NEJM study which shows 18% of mRNA vaccinated women spontaneously abort?,0
The vaccines are too new,0
I heard a kid died recently from getting the vaccine,0
will the vaccine give me COVID,0
"When will they come out with the long term side effects, not months but years",0
is the vaccine made with poop?,0
What percentage of those dying of covid presently in U.S. are vaccinated?,0
Does the vaccine have chips?,0
I lost a loved one who took the vaccine,0
Are there magnets in the vaccine?,0
Is there metal in the vaccine,0
Will the vaccine hurt me,0
I'm scared the vaccine will hurt,0
The vaccines are depopulation tools,0
do MRNA vaccines cause heart problems,0
Are you worried about all the adverse reactions due to the covid vaccine?,0
Are vaccines approved by FDA?,0
Why do retards want to be experimented on in this way?,0
Why does the vaccine have graphene particles in it?,0
does the vaccine cause heart inflammation,0
are there microchips in the vaccines?,0
I have nerve problems after receiving the vaccine.  What should I do?,0
Why do young adult men Surfer from heart issues after vaccination,0
How many people have died from the Pfizer vaccine?,0
How many people has the vaccine murdered?,0
Will the vaccine give me magnetic powers?,0
getting sick with covid is safer than the vaccine,0
Why get vaccinated if breakthrough corona virusses exist. Doesn't that imply the vaccine does not work.,0
Does the jab alter receivers DNA?,0
What are the most serious side effects of covid-19 vaccine?,0
does the vaccine cause COVID,0
If the vaccine is safe then why did my grandmother die 2 hours after taking it?,0
Has the vaccine been approved,0
why is there no long term data on mRna vaccines,0
Can you die from vaccine,0
Can the vaccine cause blindness,0
"If I have heart problems, is the vaccine safe.  Wouldn't taking ivermectin be better.",0
how do we know the vaccine is safe,0
Who's gonna take the responsability if the vaccine makes me sick?,0
why should a 20 year old be vaccinated,0
the vaccine hasn't been tested long enough,0
the vaccine was created so fast,0
Can vaccine cause cancer,0
can i die from a covid vaccine?,0
Does the vaccine put the devil in you?,0
Do the vaccines contain fetal cells?,0
why is the vaccine fake,0
Does Covid vaccination cause infertility?,0
I had a reaction to the vaccine I don't want another shot,0
How many deaths from covid vaccines?,0
How dangerous is vaccine?,0
are microchips inside,0
the vaccine was developed too quickly,0
"I have heard people have died of the vaccine, is this true?",0
What makes these vaccines different to the swine flue vaccine that took a year to discover adverse reactions?,0
Is the vaccine about population control?,0
will the vaccine make me sick?,0
We don't know enough about long term effects,0
Why should I trust Jewish vaccines?,0
What is the rate of severe side effects to the vaccine?,0
The U.S. government forced black populations into recieving fake vaccines that were actually cultures of Syphilis.,0
Does the vaccine have embryo in it?,0
Does the vaccine lower fertility?,0
Will civic vaccine cause fertility problems?,0
what are the long-term effects of the covid vaccine?,0
will i get a chip,0
could i die after getting the covid vaccine,0
i refuse to get the vaccine,0
What are the downsides to getting the vaccine?,0
How do we know the vaccine is safe,0
are side effects worse afetr the second shot?,0
What are some possible side effects of COVID-19 vaccines for children younger than 12?,0
Have their been any long-term studies of the safety of this totally new class of genetic vaccines that have never before been approved for use in humans?,0
"Well, i think vaccines are bad for my body... is it true?",0
I think they rushed the vaccines,0
can the vaccines cause asthma?,0
Why there are aluminum nanoparticles in the vaccine?,0
"Hello! Can you please indicate if post vaccination have there been any further side effects such as blood clotting after 3 months, and shortens life expectancy  by causing rare heart attack?",0
How many deaths from the vaccines ?,0
People I know are sick with covid even after getting vaccinated,0
is the vaccine safe not to wear a mask?,0
Which of the vaccines have the least side effects,0
are there animal products in the vaccines?,0
Will a magnet stick to my arm after I get the second injection?,0
how dangerous are the new J&J side effects?,0
"hey, I heard vaccines lead to infertility.  what's up with that?",0
Do vaccines have tiny eansey microchips in them,0
I am scared to get the vaccine because it is not fully FDA approved,0
Will covid vaccine make me grow more fingers,0
Do covid vaccine deaths get reported,0
the vaccine doesnt work,0
Are vaccines a hoax?,0
how many death for vaccine in Italy,0
whos liable if injuries accure,0
does the vaccine contain fetal tissue,0
