,text,label,text_word_count
0,If symptomatic patient got the vaccine will he dies,0,9
1,"Has anyone died from getting the Pfizer, Moderna or Johnson and Johnson vaccine",0,13
2,Why should I trust a pharmaceutical company who can manipulate data?,0,11
3,What are antisense RNA's?  Could they or dsRNA be contaminating the COVID mRNA vaccines due to poor quality control?,0,19
4,The vaccines aren't FDA approved.,0,5
5,Do mRNA vaccines damage reproductive system,0,6
6,how many people have several issues after the vaccine,0,9
7,How many people got sick because of the vaccination,0,9
8,How does the vaccine affect fertility,0,6
9,"Since it is a man made product, what are the long term effects to the dna of a person.?",0,19
10,i don't want to be chiped,0,6
11,Are the vaccines not unsafe?,0,5
12,Hi I think the vaccine causes covid.,0,7
13,Can vaccin mRNA cause long-term consequences on human?,0,8
14,Can I get covid from vaccine,0,6
15,How is the vaccine safe if I can't donate blood,0,10
16,no go,0,2
17,how likely is it to have covid symptom after getting 2nd dose of vaccination?,0,14
18,How many adverse reactions have there been?,0,7
19,Will the vaccine turn me gay?,0,6
20,What are the real effects covid 19 vaccines have,0,9
21,What are the long term side effects of pfizer,0,9
22,Does the vaccine have a tracker in it?,0,8
23,Does J&J vaccine contain  fetal cells,0,6
24,Why has there been a spike in blood clot and heart inflammation following vaccinations,0,14
25,Do vaccines cause mutations,0,4
26,Will I mutate?,0,3
27,how do you know the covid 19 vaccine is safe,0,10
28,Vaccines are only water,0,4
29,What are the long term effects of the vax,0,9
30,are there complaints of long term arm soreness after vaccination?,0,10
31,Do little kids die from vaccine?,0,6
32,what is the delta variant and how dangerous is the vaccine?,0,11
33,What are they injecting into our bodies,0,7
34,feeling afraid of taking vaccine,0,5
35,the vaccine wasn't tested enough,0,5
36,Does sinus arrhythmia create risk in getting the vaccine?,0,9
37,can the vaccine giv eme covid,0,6
38,Was virus created to depopulate humankind?,0,6
39,Is it true that these vaccines have killed more people than any other vaccine in history?,0,16
40,"If vaccines are not 100% protection against the virus, would you want to have a prophylactic to assist in defeating the virus?",0,22
41,do the vaccines have fetus material in them?,0,8
42,when it will be proven that vaccines are really efficient?,0,10
43,I'm concerned of side effects,0,5
44,"I understand that COVID vaccine contains NO aborted fetal cells.  But, were aborted fetal cells used in the vaccine development?",0,20
45,How many deaths from vaccine,0,5
46,"Yes or no, has anyone died from taking the vaccine?",0,10
47,Can covid-19 vaccines cause hearing loss?,0,6
48,What are the long term effects of covid and the covid vaccine,0,12
49,Why do you call experimental gene therapy a vaccine?,0,9
50,Does the vaccine contain nano particles?,0,6
51,Had anyone died from the vaccines?,0,6
52,why haven't all the vaccines been approved yet?,0,8
53,How many people have died from the vacine?,0,8
54,what side effects,0,3
55,Have people died from the vax?,0,6
56,Can the vaccine cause a cytokine storm when exposed to a wild variant of coronavirus,0,15
57,Will the vaccine alter my DNA?,0,6
58,Is it true that the vaccines are genetically modified?,0,9
59,will I die after vaccination,0,5
60,The vaxin wasn't approved proparly,0,5
61,Will the vaccine make me magnetic,0,6
62,Neurological side effects,0,3
63,i am concerned about implanted microchips,0,6
64,when it will be proven that the vaccines are really effective,0,11
65,Does the vaccine use aborted fetus?,0,6
66,Is there metal in the vaccine?,0,6
67,I heard the vaccine will change my DNA,0,8
68,is the vaccine a hoax,0,5
69,Will i get myocarditis from teh vaccine,0,7
70,I'm nervous about getting serious side effects.,0,7
71,Why does the vaccine kill and injure so many people,0,10
72,A number of doctors are reporting micro blood clots from the mRNA vaccines.,0,13
